,,Author,Date,Rating,"Helpful count",Review,"Picture included",Language,"Language code","Reviewer Data","Profile Url","Review Url",Photos
11,,"Danielle Tice","2021-02-20 21:42:26",1,2,"I went through the drive through and they took awhile but that is to be expected when going to Culver’s but THEY FORGOT MY TOP BUN?!?? And I tried to call but constantly got sent to voicemail mail... so hopefully somebody sees this.
https://lh5.googleusercontent.com/p/AF1QipNTJJaSHzHczLe_WWF6zP-OTLx3kZG7Tc-1Fcl7=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipNTJJaSHzHczLe_WWF6zP-OTLx3kZG7Tc-1Fcl7=w150-h150-k-no-p",yes,,en,"3 reviews",https://www.google.com/maps/contrib/100755787946619434255?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUR5a0oyRUFnEAE!2m1!1s0x0:0x5a05d1546623c4c5!3m1!1s2@1:CIHM0ogKEICAgIDykJ2EAg%7CCgsIwoTGgQYQsKmKIA%7C?hl=en,https://lh5.googleusercontent.com/p/AF1QipNTJJaSHzHczLe_WWF6zP-OTLx3kZG7Tc-1Fcl7=w150-h150-k-no-p
12,,"Ivy Herron","2021-04-03 23:08:46",3,0,"I love this Culver’s and come here often. My one complaint... stop taking more orders than you can fill and then telling people to pull forward... Waited 25 minutes In line- no big deal, lots of customers. Then I had to wait 20 minutes past when I paid, only to get an incorrect order that took another 15 minutes to correct. It seems like they could focus on current orders rather than getting as many people past the cashier as fast as possible and then slowing way down when it comes to actually bringing food out.",no,,en,"10 reviews in Lansing",https://www.google.com/maps/contrib/107850714523463192327?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNLNXFpbmhnRRAB!2m1!1s0x0:0x5a05d1546623c4c5!3m1!1s2@1:CIHM0ogKEICAgICK5qinhgE%7CCgwI_uqjgwYQgMWE8QE%7C?hl=en,
13,,"Brett Potter","2021-04-10 22:24:49",1,2,"Seriously? I can not imagine a worse experience. Waited in line for literally 25 minutes, and the two sandwiches we ordered with an extra side of tartar sauce came with no sauce at all.
Called them twice to see if we could skip the massive line and just get our sauce....no answer on the phone.
Absolute fail. Worst fast food experience I have had in years.
https://lh5.googleusercontent.com/p/AF1QipP5Mb6dt2iC6pnOb_5c0iQtBpR0a8o5pyzC1zIL=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipP5Mb6dt2iC6pnOb_5c0iQtBpR0a8o5pyzC1zIL=w150-h150-k-no-p",yes,,en,"11 reviews in Lansing",https://www.google.com/maps/contrib/114085877997265029720?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNLbWFXcGZnEAE!2m1!1s0x0:0x5a05d1546623c4c5!3m1!1s2@1:CIHM0ogKEICAgICKmaWpfg%7CCgwIscvIgwYQkPK4kAE%7C?hl=en,https://lh5.googleusercontent.com/p/AF1QipP5Mb6dt2iC6pnOb_5c0iQtBpR0a8o5pyzC1zIL=w150-h150-k-no-p
14,,"Sarah Spitler","2021-07-25 01:35:48",5,1,"I always order a burger with mustard and extra mayo only, most places won't put the extra mayo on. Culver's did and it was so good. Also upgraded to pretzel bites instead of fries. They are really good as well. It was a beautiful day to sit outside. I will recommend taking some antibacterial wipes to wipe your table down as all outside were dirty. We still enjoyed our lunch just laid napkins down.
https://lh5.googleusercontent.com/p/AF1QipOxSrVjixzVZZvJKrROkF2PGJI3SNV3aJx1syYC=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipOxSrVjixzVZZvJKrROkF2PGJI3SNV3aJx1syYC=w150-h150-k-no-p",yes,,en,"29 reviews in Lansing",https://www.google.com/maps/contrib/105841177656519557353?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNhclBMMnNRRRAB!2m1!1s0x0:0x5a05d1546623c4c5!3m1!1s2@1:CIHM0ogKEICAgICarPL2sQE%7CCgwI9P_yhwYQ-IeR_QE%7C?hl=en,https://lh5.googleusercontent.com/p/AF1QipOxSrVjixzVZZvJKrROkF2PGJI3SNV3aJx1syYC=w150-h150-k-no-p
15,,"Jill Moore","2021-07-29 12:04:45",1,0,"One customer ahead of us in drive thru, got a small cup of custard, took like 10 minutes before she got her order.  We got 1 concrete.  Pulled up to window, worker sat with her back against the window, ignoring us.  Then finally opened it and asked what we had ordered (should have known).  Then about 10 minutes later it was brought to our car.  At 9 pm, it wasn't busy!  We waited.a total of 20 minutes for ONE item.  Worst customer service I've ever had at a Culver's.  Glad I was just passing through town, and dont have to return.",no,,en,"11 reviews",https://www.google.com/maps/contrib/104458092257991830489?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNhdXE3aVJnEAE!2m1!1s0x0:0x5a05d1546623c4c5!3m1!1s2@1:CIHM0ogKEICAgICauq7iRg%7CCgsI3bKKiAYQwISuBQ%7C?hl=en,
16,,"Kat Aldrich","2021-07-29 23:08:42",5,0,"I've been here twice and both times I have been very happy with the service and with the food. The girl taking orders is very friendly and knowledgeable. And the wait times aren't that bad considering they make every burger to order. The prices are also quite reasonable. They've made a regular out of me.",no,,en,"26 reviews in Lansing",https://www.google.com/maps/contrib/106047128237805326780?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNheHBEWUFREAE!2m1!1s0x0:0x5a05d1546623c4c5!3m1!1s2@1:CIHM0ogKEICAgICaxpDYAQ%7CCgsI-umMiAYQsJqNdA%7C?hl=en,
17,,"Kyle Turcotte","2021-08-25 17:24:37",4,0,"This place can be good or bad, I've had both experiences, sometimes the meat is cold and dry, definitely undesirable while other times it's what you would expect meat to be  hot and juicy. The frozen custard on the other hand is always exceptional you get what you are expecting.",no,,en,"Local Guide · 104 reviews",https://www.google.com/maps/contrib/105067430293579001320?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURhbDkzMTlRRRAB!2m1!1s0x0:0x5a05d1546623c4c5!3m1!1s2@1:CIHM0ogKEICAgIDal9319QE%7CCgsI1fmZiQYQuLKJdw%7C?hl=en,
18,,"Deborah “Debbie” Green","2021-10-25 21:32:00",4,0,"Went to Culver's after a movie. They were still open after 8 pm and had dining inside. Our food was good, hot, and fast. I ordered fries extra crispy and they were not extra crispy.  Otherwise I would have given them a 5. Dining room was clean and appeared to have been recently santized.",no,,en,"20 American restaurant reviews",https://www.google.com/maps/contrib/112315437648948489847?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNHeXZTQVl3EAE!2m1!1s0x0:0x5a05d1546623c4c5!3m1!1s2@1:CIHM0ogKEICAgICGyvSAYw%7CCgwI0MTciwYQ8MqFlAE%7C?hl=en,
19,,"Koty Fluke-henry","2021-11-10 01:18:50",1,0,"This was a terrible experience, the order was incorrect the sides not correct I was not asked about any sauces, my food was dry and bland, I was asked to pull ahead and did not know how far to pull ahead I just went up far enough for the other cars to leave the drive though.  Trying to order was also a task the person taking the order was able to be heard. However I will the the lady that brought out the food was very nice and professional. I just wish I would have checked the order before I left.",no,,en,"2 reviews",https://www.google.com/maps/contrib/106716631819169525929?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNHbTZET0NREAE!2m1!1s0x0:0x5a05d1546623c4c5!3m1!1s2@1:CIHM0ogKEICAgICGm6DOCQ%7CCgwI-rusjAYQ4IjcxgI%7C?hl=en,
20,,"Corinne L","2021-11-10 23:52:56",5,0,"Oh Culver's, how I love thee. My food is always good, somehow my fries stay good on the drive home. There is always a line so try to use it as a time to relax for a bit. These folks are working so hard, I always slip a couple bucks to whoever brings my food out.",no,,en,"15 reviews",https://www.google.com/maps/contrib/115939427454401456905?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNHaDVUa0pREAE!2m1!1s0x0:0x5a05d1546623c4c5!3m1!1s2@1:CIHM0ogKEICAgICGh5TkJQ%7CCgwI2LaxjAYQ-O7cngI%7C?hl=en,
21,,"K Size","2022-01-06 02:57:36",5,0,"Good food. Pretty clean. Bathroom faucet in the men's room didn't work correctly, just drizzled.  Service was good and employees were friendly.
https://lh5.googleusercontent.com/p/AF1QipP5b9nLSATsy3lGACsaxPXKolLiaL75ZIy85mTw=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipP5b9nLSATsy3lGACsaxPXKolLiaL75ZIy85mTw=w150-h150-k-no-p",yes,,en,"21 American restaurant reviews",https://www.google.com/maps/contrib/116006359621114833859?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNtN2JpX3F3RRAB!2m1!1s0x0:0x5a05d1546623c4c5!3m1!1s2@1:CIHM0ogKEICAgICm7bi_qwE%7CCgwIoLXZjgYQ0IqbugE%7C?hl=en,https://lh5.googleusercontent.com/p/AF1QipP5b9nLSATsy3lGACsaxPXKolLiaL75ZIy85mTw=w150-h150-k-no-p
22,,"Denni Cady-Stid","2022-01-16 14:12:36",5,0,"I’d never been there before, and the only reason i went is because i had a gift card. I’m going thru some stuff, and i don’t know what happened really, but i had an anxiety attack trying to order, and the poor kid at the register couldn’t get the gift card to work and I’m was obviously making him super uncomfortable. Meanwhile, I’m just wishing i would drop dead on the spot because i know i look insane. Someone (a young woman, brown hair i think?) was called over to help with my order, but there was still some issue with the gift card. Im not entirely sure, at that point i was just trying to get out of there with out embarrassing myself further. She ended up bringing me my malt and gave me a coupon for a meal to come back. I just wanted to say thank you and I’m sorry to both her and the young man who took my order originally. I also just wanted to briefly explain myself so neither of them thought they had done anything to upset me. I’m SUPER embarrassed and am very thankful for their kindness.",no,,en,"1 review",https://www.google.com/maps/contrib/102710905221428828368?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURtc0tuelZ3EAE!2m1!1s0x0:0x5a05d1546623c4c5!3m1!1s2@1:CIHM0ogKEICAgIDmsKnzVw%7CCgwI1M-QjwYQqPC-twE%7C?hl=en,
23,,"Roland O","2022-02-13 00:52:30",5,0,"So good the only thing left one plate was half a pickle.Food was freshly made and perfectly cooked.We dined in and the entire staff was so nice and professional.The location was very clean and everyone seemed to be enjoying there meals.A-1 service.Just as good every time.
https://lh5.googleusercontent.com/p/AF1QipPXCOM5tgSzMquYMQ3ncjY35bNuptSlhqB9wyHr=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipNA3lIE7sYvFhu0FPpFWG0L-ozGbVpU2Gaibpd7=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipPXCOM5tgSzMquYMQ3ncjY35bNuptSlhqB9wyHr=w150-h150-k-no-p
https://lh5.googleusercontent.com/p/AF1QipNA3lIE7sYvFhu0FPpFWG0L-ozGbVpU2Gaibpd7=w150-h150-k-no-p",yes,,en,"76 reviews in Lansing",https://www.google.com/maps/contrib/101157186498367391212?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQ2di1UN2h3RRAB!2m1!1s0x0:0x5a05d1546623c4c5!3m1!1s2@1:CIHM0ogKEICAgID6v-T7hwE%7CCgwIzqyhkAYQ4Ij0vgI%7C?hl=en,"https://lh5.googleusercontent.com/p/AF1QipPXCOM5tgSzMquYMQ3ncjY35bNuptSlhqB9wyHr=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNA3lIE7sYvFhu0FPpFWG0L-ozGbVpU2Gaibpd7=w150-h150-k-no-p"
24,,"Lisa W","2022-04-20 15:29:23",2,1,"I'd never been to Culver's before and I mentioned that to the young man at the register hoping he could maybe give me some suggestions but instead he just stood there annoyed and I ended up with a burger combo that I could have got from any number of fast food places. My husband just got some fries and water and it came out to $14. The lobby is clean so yay for them.",no,,en,"Local Guide · 23 reviews",https://www.google.com/maps/contrib/116927515482022659401?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUMyOXAyOWZ3EAE!2m1!1s0x0:0x5a05d1546623c4c5!3m1!1s2@1:CIHM0ogKEICAgIC29p29fw%7CCgwI082AkwYQ0IbhrgI%7C?hl=en,
25,,"Nick Dyer","2022-04-20 17:50:14",4,0,"I come here all the time and service is usually great I only get a messed up order every once in awhile. I do have to say please stop interrupting me while I’m ordering, I get it you’re trying to be fast and efficient but it’s quite rude let me finish my order first and then you read it back to me.",no,,en,"1 review",https://www.google.com/maps/contrib/109790429649971430289?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUMyanRMU3l3RRAB!2m1!1s0x0:0x5a05d1546623c4c5!3m1!1s2@1:CIHM0ogKEICAgIC2jtLSywE%7CCgwI1o-BkwYQsNyP6QE%7C?hl=en,
26,,"Beverly Edmondson","2022-04-23 12:42:26",3,0,"Incredibly busy and super slow.  Plus once order was received, it was missing an item.  Thankfully I  checked it before pulling away. I understand the worker shortage and accounted for that situation as to the wait time.  However I cannot excuse missing  items.  Not a deal breaker because the food has been acceptable.  Lesson is to check your order before leaving!",no,,en,"15 American restaurant reviews",https://www.google.com/maps/contrib/102267087132479655249?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUMyMGU2UmJREAE!2m1!1s0x0:0x5a05d1546623c4c5!3m1!1s2@1:CIHM0ogKEICAgIC20e6RbQ%7CCgwIsuiPkwYQ6KHzrwM%7C?hl=en,
27,,JayMillz517,"2022-05-05 00:12:04",4,0,"Pretty tasty, hot, fresh and cooked perfectly.  The fries are always piping hot and crispy. The staff have always greeted us with smiles and suggestions if they have items to pitch.  Not a bad location, the views out the windows are nice while you catch as bite with friends or family.",no,,en,"16 reviews in Lansing",https://www.google.com/maps/contrib/110284898687453920660?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQyeUsycXFBRRAB!2m1!1s0x0:0x5a05d1546623c4c5!3m1!1s2@1:CIHM0ogKEICAgID2yK2qqAE%7CCgsI1KzMkwYQ0Jqsew%7C?hl=en,
28,,"Allisen Wells","2022-06-01 22:30:21",1,3,"The girl that took our order didn’t even hear half the things we said. When we got our food and realized half of it wasn’t on the receipt we asked about it and they said they could retake our order. They didn’t give my kids their chocolate milks. Made my daughter cheeseburger with nothing on it but pickles. We tried to talk to them and they just dismissed us like it didn’t matter. Will never eat here again.",no,,en,"1 review",https://www.google.com/maps/contrib/107519804642884926049?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNPeE1lcGFREAE!2m1!1s0x0:0x5a05d1546623c4c5!3m1!1s2@1:CIHM0ogKEICAgICOxMepaQ%7CCgwI_dDflAYQsNLBkQI%7C?hl=en,
29,,"BJ Curry","2022-06-10 15:15:58",5,0,"I absolutely  LOVE Culver's ! Quality food. I was charged extra for tomatoes, but I wasn't  made aware of this before ordering. I  went through the drive-thru.",no,,en,"20 reviews",https://www.google.com/maps/contrib/116720129049253056608?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNPN3M3dFBnEAE!2m1!1s0x0:0x5a05d1546623c4c5!3m1!1s2@1:CIHM0ogKEICAgICO7s7tPg%7CCgwIrsCNlQYQqP6p8QI%7C?hl=en,
30,,Lisa,"2022-06-16 23:51:32",3,0,"Had to remind them we needed our 3rd drink, my burger was suppose to have everything on it & it only had ketchup, we had 3 drinks & 3 ice creams & they didn't give us a drink holder for any if it, didn't fill our root beer & gave us our ice cream first so it melted while we waited for our food (drive thru).",no,,en,"Local Guide · 148 reviews",https://www.google.com/maps/contrib/103852870660158632899?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNPN2JHem1nRRAB!2m1!1s0x0:0x5a05d1546623c4c5!3m1!1s2@1:CIHM0ogKEICAgICO7bGzmgE%7CCgwIhISvlQYQgN784gE%7C?hl=en,
31,,"Isabel Lopez","2022-07-18 21:58:40",3,1,"Service was mediocre. The drive-thru attendant was rude and having side conversations. I asked for the flavor of the day which was cookie dough and basically got vanilla ice cream with cookie dough on top. The ice cream does not taste the same as other Culver’s. It tasted like freezer burn ice cream.",no,,en,"8 reviews",https://www.google.com/maps/contrib/113939535663731803565?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUN1NEtlMGZBEAE!2m1!1s0x0:0x5a05d1546623c4c5!3m1!1s2@1:CIHM0ogKEICAgICu4Ke0fA%7CCgsIkK_XlgYQ-LmeBw%7C?hl=en,
32,,"Chad Lyke","2022-07-27 17:08:33",1,2,"Order was wrong, food was missing, Owner refuses to take calls or call back. Corporate claims there is nothing they can do because ""Charles"" is an independent owner. Called store the day it happened: they wanted me to drive an hour back to the store with the food that was missing to begin with in order to get a refund. Pretty funny how the shift managers all claim they're owners when you call them, either Corporate Culvers isn't paying attention to this place or they simply don't care. Made a stop passing through Lansing, next time I won't.",no,,en,"Local Guide · 65 reviews",https://www.google.com/maps/contrib/101560753739662929244?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUN1MW9EWi1BRRAB!2m1!1s0x0:0x5a05d1546623c4c5!3m1!1s2@1:CIHM0ogKEICAgICu1oDZ-AE%7CCgwIkeKFlwYQoMvL5wI%7C?hl=en,
33,,"Thai Wan Brah Zeal","2022-09-03 15:34:06",1,1,"Rude at drive through, not helpful at all .. for this being my first visit at Culver's, it will most certainly be my last. Very disappointed and offended that I would be scoffed at for ordering four kids meals.",no,,en,"Local Guide · 56 reviews",https://www.google.com/maps/contrib/118045013241187558230?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNlNEtXcTdRRRAB!2m1!1s0x0:0x5a05d1546623c4c5!3m1!1s2@1:CIHM0ogKEICAgICe4KWq7QE%7CCgwI7ufNmAYQ2Myg2QM%7C?hl=en,
34,,"Rachael Taylor","2022-10-03 17:57:51",5,0,"We absolutely ❤️ Culver's! We can't seem to go anywhere without everyone knowing my fiance, so we went in and it was a great experience. We were greeted at the door with a smile and a ""Welcome to Culver's"". Love the frozen custard and the butter burger. 😋 YUMMY!",no,,en,"15 reviews in Lansing",https://www.google.com/maps/contrib/108060968025311880724?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURlOUxPRnFBRRAB!2m1!1s0x0:0x5a05d1546623c4c5!3m1!1s2@1:CIHM0ogKEICAgIDe9LOFqAE%7CCgwIn8XsmQYQ6Oy2vgI%7C?hl=en,
35,,"Michael Peters","2022-10-17 22:53:03",4,0,"I generally really love a good butter burger.  This location needs to learn how to use salt and pepper.  Hot fries though!!!!",no,,en,"16 reviews in Lansing",https://www.google.com/maps/contrib/106791011685684629004?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURlZzhMbUdnEAE!2m1!1s0x0:0x5a05d1546623c4c5!3m1!1s2@1:CIHM0ogKEICAgIDeg8LmGg%7CCgwIz7m3mgYQ0L3K-AE%7C?hl=en,
36,,"Kelsey Gonzales","2022-10-18 09:19:07",4,0,"I enjoy Culver’s often I really like the fast service when it comes to the food, they should definitely come up with a different process with they’re ice cream, mult, freeze drink making system",no,,en,"5 reviews",https://www.google.com/maps/contrib/114643190906533496164?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURlbzdUSlFREAE!2m1!1s0x0:0x5a05d1546623c4c5!3m1!1s2@1:CIHM0ogKEICAgIDeo7TJQQ%7CCgwIi9-5mgYQ4OTZpAE%7C?hl=en,
37,,"andrew s peterson","2022-10-22 01:54:17",1,2,"Do you like waiting 40 minutes for the wrong or incomplete order, then this place is for you. Not only are they slow, but they're also incapable getting your order correct. The place is rampant incompetence from management on down. This has happened to me every visit. I could understand one bad visit. I decided to give them a second chance after the worst experience I'd ever had at a fast food restaurant. That was my mistake. I heard that they were doing somewhat better. Guess what??? They aren't.
Never eat here, I don't think this is necessarily true of all Culver's locations. But South Lansing Culver's is the WORST! I wish to give it negative stars. The real review is -793 stars.",no,,en,"11 reviews",https://www.google.com/maps/contrib/102628901045786706237?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURldDRxSXNnRRAB!2m1!1s0x0:0x5a05d1546623c4c5!3m1!1s2@1:CIHM0ogKEICAgIDet4qIsgE%7CCgwIyZrNmgYQ8LmChgI%7C?hl=en,
38,,"Toni Crane","2022-11-03 15:57:48",1,1,"Visited this establishment on November 3, 2022. Drive through order #92. Ordered a butterburger cheese meal, onion and mayo only. After waiting between 15 and 20 minutes for my order finally got it. But no fries in the bag. Went back but inside got my fries. Came back to car to eat just to notice my burger had EVERYTHING on it. My pretzel bites was lukewarm. If my food was made fresh it all should have been much warmer than recieved. I called to complain and the person named Ell I belive took my call it was a male. Told me to bring back the food and they would make my meal fresh. Told him I just spent 20 min in drive through and getting my fries I don't have the time as I was in my lunch. I didn't have time for this. Shouldn't have taken more than 10 minutes to get my food once paid for and began waiting. First time.visiting this establishment and I don't think I'll be back.",no,,en,"12 reviews",https://www.google.com/maps/contrib/112802092063959819869?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUMtdHEzWm9RRRAB!2m1!1s0x0:0x5a05d1546623c4c5!3m1!1s2@1:CIHM0ogKEICAgIC-tq3ZoQE%7CCgsI_MmPmwYQ4JajGA%7C?hl=en,
39,,"Julia Pollard","2022-11-06 22:01:22",1,1,"Went for a turtle sundae and strawberry shake. 3 people ahead of us no big deal but 20 minutes waiting and 3 orders BEHIND us got served before us.
Got attitude from the manager because we asked for our money back and did not get our ice cream. Thanks for the experience I'm sure the Culver's family are proud of the management attitude.",no,,en,"12 reviews",https://www.google.com/maps/contrib/106713650013580238977?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUMtOFk2MHVBRRAB!2m1!1s0x0:0x5a05d1546623c4c5!3m1!1s2@1:CIHM0ogKEICAgIC-8Y60uAE%7CCgwIst2gmwYQoLDhvAE%7C?hl=en,
40,,"Cody Paseka","2022-11-28 15:37:41",1,0,"Cheese curds don't include a dipping sauce? Prices have gone way up and EVERYTHING cost extra! This location is under new management and prices have gone sky high... Rude employees to top it off. My previous visit both burgers were raw in the middle... Avoid this location, all others Culver's in the area are awesome and care about their customers, not this one. I sure hope corporate steps in before this location goes out of business and hurts the Culver's  brand.",no,,en,"5 American restaurant reviews",https://www.google.com/maps/contrib/102980615047630731883?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURnODY3eFhBEAE!2m1!1s0x0:0x5a05d1546623c4c5!3m1!1s2@1:CIHM0ogKEICAgIDg867xXA%7CCgwIxauTnAYQqOG7kAE%7C?hl=en,
41,,"Liv Ackels","2022-12-04 01:47:29",1,1,"I would not recommend this location to anyone. They were rude and talking about how we ordered our food with the headset still on so we could hear them. They did not include our sides that we ordered and nothing was put on our burgers except cheese when we clearly asked for them to be topped with everything that comes on them. My burgers were also burnt to a crisp and the cheese curds were super old. I was missing around $15 worth of my $50 order. When I called to let management know their phone lines were shut off so that nobody is able to reach anyone.",no,,en,"9 reviews",https://www.google.com/maps/contrib/102835331965395656237?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUQtMmFhMU1REAE!2m1!1s0x0:0x5a05d1546623c4c5!3m1!1s2@1:CIHM0ogKEICAgID-2aa1MQ%7CCgwIsfivnAYQ6MamkAI%7C?hl=en,
42,,"Raushawn Bodiford","2023-01-06 23:21:47",1,2,"Placed an online order. Got home and found out they shorted me a fry. Seems like a simple issue, refund the few dollars for the fries and no harm no foul. They refused to refund my money AND accused me of lying over the phone... about an order of French fries. They claimed that they could only refund money in person... Even though I ordered and paid online.
In a nutshell it's overpriced, mediocre food coupled with horrible customer service. Find someplace else to eat.",no,,en,"Local Guide · 16 reviews",https://www.google.com/maps/contrib/102107097304006998094?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNCdDdyTEdnEAE!2m1!1s0x0:0x5a05d1546623c4c5!3m1!1s2@1:CIHM0ogKEICAgICBt7rLGg%7CCgwIi9rinQYQiJjYhQM%7C?hl=en,
43,,"Debby Forbes","2023-01-25 02:51:13",5,0,"Employee take order in drive thru was so pleasant! Drive thru was busy, but she really made my day",no,,en,"7 American restaurant reviews",https://www.google.com/maps/contrib/104106099030250924169?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURCMWRLbk93EAE!2m1!1s0x0:0x5a05d1546623c4c5!3m1!1s2@1:CIHM0ogKEICAgIDB1dKnOw%7CCgwIobLCngYQoMqK4QI%7C?hl=en,
44,,"Bobby B","2023-01-25 22:10:18",3,0,"Food is always the same. Last two yimes we have been to this particular resturant they have forgot our ice cream order. I have had to go ask for its status.
This visit I was there with my two younger children and heard some LOUD explicit language being said by the employees it was very disturbing.",no,,en,"12 reviews",https://www.google.com/maps/contrib/109129520650559030289?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURCemNlRUZ3EAE!2m1!1s0x0:0x5a05d1546623c4c5!3m1!1s2@1:CIHM0ogKEICAgIDBzceEFw%7CCgwIytHGngYQuNbR2AE%7C?hl=en,
45,,"Donia Collier","2023-02-06 18:10:28",4,0,"There's Always a line, Because the Food Is Delicious! Culver's burgers tasts like homemade❤😋They have the best fries, and we prefer their custard over every other business's ice cream.
Our 2 favorite things:
1)the kids meal offers enough to satisfy just about anyone & we love the entre options.
2)they have flavor of the day custard (different @ each location) as well as they're usual flavors/varieties.
Considering the portions/cost, Culver's offers both Quality + Quantity.
Every once in awhile, they forget something & we have to go back around or run inside, they make it right, tho.",no,,en,"10 reviews in Lansing",https://www.google.com/maps/contrib/107071188006534458300?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNoOUxlclN3EAE!2m1!1s0x0:0x5a05d1546623c4c5!3m1!1s2@1:CIHM0ogKEICAgICh9LerSw%7CCgwIlIWFnwYQ6JbTsAI%7C?hl=en,
